restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,is_open
The Waffle Press,Dessert Parlor,4.2,122,400.0,Yes,No,"Desserts, Ice Cream",MG Road,St. Marks Road,Yes
The Waffle Street,"Quick Bites, Dessert Parlor",3.9,46,300.0,Yes,No,"Continental, Beverages, Burger, Coffee, Desserts","Byresandra,Tavarekere,Madiwala",HSR,Yes
The Waffle Yard,"Dessert Parlor, Quick Bites",4.2,149,300.0,No,No,"Desserts, Fast Food",New BEL Road,New BEL Road,Yes
The Waffles Hut,Dessert Parlor,3.6,17,400.0,Yes,No,Desserts,Malleshwaram,Malleshwaram,Yes
The Waverly Express,Cafe,3.5,12,650.0,No,No,Cafe,Whitefield,Whitefield,Yes
The Whiskey Bar,Bar,3.7,43,2800.0,No,Yes,"Finger Food, North Indian",Brigade Road,Race Course Road,Yes
The White Room - Coffee & Kitchen,Cafe,4.0,1701,1000.0,No,Yes,"Cafe, Continental, American, Desserts",Brigade Road,Church Street,Yes
The Whitefield Arms Pub & Microbrewery,"Pub, Microbrewery",4.2,1113,1600.0,Yes,Yes,"British, Continental, BBQ",Whitefield,Whitefield,Yes
The Wicked Cup,Cafe,3.9,56,350.0,No,No,"Cafe, Sandwich, Fast Food, Beverages, Desserts",HSR,HSR,Yes
The Wok,Food Court,2.8,89,500.0,Yes,No,"Chinese, Momos",Brookefield,Whitefield,Yes
The Wok Shop,Quick Bites,3.4,7,500.0,Yes,No,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",Brigade Road,Ulsoor,Yes
The World Cafe,Cafe,3.8,31,600.0,No,No,Cafe,Malleshwaram,Malleshwaram,Yes
The Yellow Chilli,Casual Dining,3.8,583,1200.0,Yes,Yes,"North Indian, Mughlai, Biryani",Jayanagar,Jayanagar,Yes
The Yellow Submarine,"Microbrewery, Casual Dining",4.4,2075,1200.0,No,Yes,"Continental, North Indian, Chinese, Pizza, Thai",JP Nagar,Bannerghatta Road,Yes
The Yellow Tuk-Tuk Cafe,Cafe,3.6,16,500.0,No,No,"Cafe, Continental, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
The Yogisthaan Cafe,Cafe,4.1,60,600.0,Yes,No,"Cafe, Healthy Food, Salad, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block,Yes
The Yummy Box,Quick Bites,3.8,28,200.0,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,Yes
The Yummy Tummy,Quick Bites,3.5,13,200.0,No,No,"North Indian, Street Food",Bannerghatta Road,Bannerghatta Road,Yes
The Zaika Of Banaras,Quick Bites,3.3,26,350.0,Yes,No,"North Indian, Street Food",Marathahalli,Marathahalli,Yes
Theeram Restaurant,Quick Bites,3.8,46,400.0,Yes,No,"North Indian, Kerala",Sarjapur Road,Sarjapur Road,Yes
Thejas Bhavan,Quick Bites,3.5,27,400.0,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Yes
TheRiceBowl.In,Takeaway,3.4,19,200.0,Yes,No,"Biryani, North Indian",Bannerghatta Road,BTM,Yes
TherPUP - a Dog Cafe,Cafe,4.2,1012,700.0,No,No,Cafe,Whitefield,Whitefield,Yes
Thindi Mane,Quick Bites,3.4,6,300.0,No,No,South Indian,JP Nagar,JP Nagar,Yes
Thindi Palace,Casual Dining,3.1,61,600.0,No,No,"North Indian, South Indian, Chinese",Rajajinagar,Basaveshwara Nagar,Yes
Third Wave Coffee Roasters,Cafe,2.8,40,800.0,No,No,"Cafe, Continental, Desserts",Brookefield,Whitefield,Yes
Third Wave Coffee Roasters @ The Bohemian House,Cafe,2.8,40,800.0,No,No,"Cafe, Continental, Desserts",Lavelle Road,Richmond Road,Yes
Thirsty Tiger,"Bar, Casual Dining",3.5,51,1300.0,No,Yes,"Continental, Finger Food",Bannerghatta Road,JP Nagar,Yes
Thiruvithamkoor Restaurant,Quick Bites,3.3,294,400.0,Yes,No,"Kerala, Seafood, South Indian, Biryani",Bellandur,Sarjapur Road,Yes
This Cafe Has No Name Cafe,Cafe,3.2,79,500.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City,Yes
Thom's Bakery,"Bakery, Quick Bites",4.1,211,200.0,No,No,"Bakery, Fast Food",Brigade Road,Frazer Town,Yes
Thomson's Bakery,Bakery,3.5,7,300.0,No,No,Bakery,Frazer Town,Frazer Town,Yes
Thottathil Restaurant,Quick Bites,3.8,69,300.0,No,No,"Kerala, South Indian, Biryani","Byresandra,Tavarekere,Madiwala",BTM,Yes
Thran,Casual Dining,4.2,308,1300.0,No,Yes,Korean,Kalyan Nagar,Kalyan Nagar,Yes
Thran Bakery,Bakery,3.6,8,600.0,No,No,"Bakery, Desserts, Beverages",Kalyan Nagar,Kalyan Nagar,Yes
Three Dots & A Dash,"Bar, Casual Dining",4.3,1196,1500.0,No,Yes,"European, Continental",Bannerghatta Road,JP Nagar,Yes
Thrilok Restaurant,Quick Bites,3.4,9,350.0,No,No,"Mangalorean, Seafood",Banashankari,Banashankari,Yes
ThrowBack - Pub & Dine,"Bar, Casual Dining",3.9,234,1000.0,No,No,"Italian, North Indian, Continental",Brigade Road,Langford Town,Yes
Thrupthi Restaurant,Quick Bites,3.4,15,150.0,No,No,Kerala,Bannerghatta Road,Bannerghatta Road,Yes
ThugLife Rolls,Quick Bites,,40,200.0,No,No,Rolls,Koramangala 6th Block,Hosur Road,Yes
Thunder Fried Chicken,Quick Bites,3.6,179,350.0,Yes,No,"North Indian, Biryani, Mughlai, Rolls",Indiranagar,Jeevan Bhima Nagar,Yes
T-hut Cafe,Quick Bites,3.6,21,300.0,Yes,No,"Chinese, Beverages",Kalyan Nagar,Banaswadi,Yes
Thyme & Whisk,Casual Dining,2.8,40,800.0,Yes,No,"Asian, Chinese, Continental, Italian",Basavanagudi,Jayanagar,Yes
